,haber,kategori
32728,egitim isten cumhuriyet ve emek yuruyusu mesaji haklarimiz icin sonuna kadar,egitim
32729,ak parti kongresi nedeniyle ankarada bazi yollar trafige kapatilacak,gundem
32730,istanbul barosu baskani kaboglu fezleke haberini yalanladi genel kurulu,gundem
32731,osmaniyede koylerde su krizi bir haftadir su yok,yerel
32732,usakta yangin faciasi 1 olu 1 yarali,gundem
32733,balikesirde kar mesaisi tum yollar acik,yerel
32734,mustafa sarigul diz coktu ozgur ozele cagrida bulundu,siyaset
32735,gelecek partili ozbudun istifa etti gordugum luzum uzerine,gundem
32736,gazzede esir degisimi bir rehine hamas savascisini alnindan optu,dunya
32737,umraniyede tavani deldi daireye girdi anne ve kizina saldirdi,gundem
32738,diyarbakirda evden cikip donmeyen zihinsel engelli ceylan araniyor,gundem
32739,kadikoyde elektrik akimina kapilan kopek oldu,gundem
32740,dso duyurdu gazzede cocuk felcine karsi asilama kampanyasi basladi,dunya
32741,necla teyzenin olumune tepki supheli olum ortulmemeli,gundem
32742,muglada yasa disi sanal bahis operasyonu 3 tutuklama,gundem
32743,beylikduzunde bir kisi tartistigi arkadasi tarafindan bicaklanarak olduruldu,gundem
32744,turkiye ile cin ve sincan uygur ozerk bolgesi arasinda ortaklik,gundem
32745,poset icerisinde yeni dogmus bebek cesedi bulundu,gundem
32746,osmaniyede deprem 1,gundem
32747,istanbulda su kayip ve kacak orani yuzde 1863e dustu 1,gundem
32748,hdk sorusturmasinda detaylar belli oldu 4753 kisi sorusturuldu 1640 kisinin,gundem
32749,imam hatipte 16 cocuga istismar davasinda yeni gelisme,gundem
32750,kocaelide okey tartismasi kanli bitti,gundem
32751,chp istanbul il baskani ozgur celik sayin cumhurbaskaninin sinif arkadaslari kim,gundem
32752,baskan secer bu ulke ayni tarim anlayisiyla 23 yildir yonetiliyor 1 metre yol,ekonomi
32753,antalyaspor 2 1 kasimpasa,spor
32754,chp istanbul il baskani ozgur celik cumhurbaskaninin sinif arkadaslari kim,siyaset
32755,dervisoglu diploma denince akla tayyip erdogan geliyor,gundem
32756,chpli ozerden imamoglunun diplomasinin iptal edildigi iddialarina iliskin,siyaset
32757,ankarada yarin bazi yollar trafige kapatilacak 1,gundem
32758,rtuk baskani sahinden sakir pasa ailesi dizisi hakkinda aciklama,gundem
32759,samsunspor sahasinda rizespora 3 2 maglup oldu,spor
32760,deva partisinden akpnin davetine ret,siyaset
32761,besiktas hentbolda avrupa kupalarina veda etti,spor
32762,fransada teror saldirisi 1 olu 5 yarali,dunya
32763,i bulent celikin 23 subat 2025 tarihli karikaturu,karikatur
32765,kirikkalede kargo aracinda uyusturucu operasyonu,gundem
32766,israil suriye lubnan sinirina hava saldirisi duzenledi,dunya
32767,imamoglundan cagri tarihi surecin bir parcasi olmaya davet ediyorum,siyaset
32768,buzlu yolda kayarak eve carptilar,gundem
32769,bahceliden akp kongresine ozel aranjman,siyaset
32770,almanyada oy verme islemi basladi,dunya
32771,dursun ozbek ve ali kocun derbi karnesi,spor
32772,soguk hava alarmi meteorolojiden kar firtina ve cig tehlikesi uyarisi,gundem
32773,meteorolojiden turuncu sari kod uyarisi altay soguklari etkisini surduruyor,gundem
32774,mahkeme karari sonrasi dizinin cekimleri durduruldu tum videolar silindi,gundem
32775,akpnin kongresine dakikalar kala dikkat ceken kulis a takiminda sil bastan,siyaset
32776,wandadan icardiyi zorlayacak istekler,spor
32777,galatasaray sahasinda fenerbahce deplasmanda etkili,spor
32778,alperen sengunun double doublei rocketsin galibiyetine yetmedi,spor
32779,erdogan kongre salonuna chpye gonderme yaparak girdi saibesiz sekilde bugune,siyaset
32780,plansiz yapilasma sanayi tesisleri ve kalitesiz yakit kullanimi hava kirliligi 6,cevre
32781,razgatlioglu sampiyonada soguk dus yarisi tamamlayamadi,spor
32782,alisveris merkezi catisi coktu 6 olu 78 yarali,dunya
32783,muayene ucretleri revize edildi sevkli hastalar icin mi herkes icin mi,ekonomi
32784,akp kongresine ozel hediye bahcelinin gullerinin anlami ne,siyaset
32785,erdogan akp 8 olagan kongresinde konustu,siyaset
32786,yeni isimler belli oldu iste akp mkyk listesi,siyaset
32787,isi yalitimi hem kis hem yaz icin zorunlu hale geliyor peki yeni standart ne,ekonomi
32788,75 berlinalede kazananlar aciklandi altin ayi drommer filmine gitti,kultur
32789,iyi partiden istifa eden ensarioglu akpye gecti,siyaset
32790,ankara sanatla isindi,yazarlar
32791,dogru ile gercek arasinda karismis akillar,yazarlar
32792,hedef gostermek iktidar medyasina serbest,yazarlar
32793,tak fise ulas 50 bine,yazarlar
32794,manisada ogrencilere yks ve lgs destegi,egitim
32795,bursada karla mucadele gece gunduz suruyor,yerel
32796,fair play odullerinin kazananlari belli oldu,spor
32797,feyenoordda robin van persie donemi,spor
32798,atasehirde kar timi seferber oldu dugun yolunda engel kalmadi,yasam
32799,emre belozoglu antalyaspor ile ic sahadaki galibiyetini aldi,spor
32800,ibb karla mucadelede 5 gununde 47 cm kar 84 bin ton tuz kesintisiz calisma,gundem
32801,erbakanin 25 yillik sag kolu erdoganin mkyksinda,siyaset
32802,isig son 12 yilda en az 2 bin 664 genc isci is cinayetlerinde yasamini yitirdi,gundem
32803,calinti kartla piyango kazandilar kart sahibi odulun yarisini paylasabilirim,yasam
32804,meteorolojiden karadeniz icin kuvvetli kar uyarisi ulasimda aksama ve cig,yasam
32805,ibbden ramazan ayinda 100 bin aileye 2 bin tl destek,ekonomi
32806,korkutan kaza bulasik makinesindeki bicak omurgasina saplandi,dunya
32807,derbilerde goller agirlikli olarak yabanci oyunculardan geldi,spor
32808,rektor istanbulda kaosun nasil onlenecegini valiye gosterdi,gundem
32809,beyaz saraydan dikkat ceken aciklama trump rusya ukrayna savasini bitirebilir,dunya
32810,izmir ekibi sutopunda avrupa sampiyonu,spor
32811,imar affi ve kacak yapilasma tehlike saciyor bingolde acil mudahale sart,gundem
32812,erdogan yeniden akp genel baskani bahceliden tebrik telefonu,siyaset
32813,milli takim avrupa salon okculuk sampiyonasinda 2 gumus 1 bronz madalya kazandi,spor
32814,sanliurfada mahsur kalan yuzlerce kaplumbaga kurtarildi,gundem
32815,japon bilim insanlari dunyanin en buyuk biyohibrit robot elini,teknoloji
32816,turkiyede 2024te 379 deniz kazasi 45 olu 12 kayip,gundem
32817,ulastirma bakanligi duyurdu agir tasitlar icin otoyol kisitlamasi kaldirildi,gundem
32818,eyupsultanda kar yagisi sonrasi site sakinlerinden iglo surprizi,yasam
32819,unlu bebek giyim markasinin bir urunu guvensiz bulundu toplatma karari verildi,gundem
32820,istanbulda tasli kar topu gerginligi minibus camlari kirildi taksici genclerin,gundem
32821,lady gaga brezilyada ucretsiz konser verecek,kultur
32822,gaziantepte ozel hastanede siddet iddiasi 72 yasindaki hasta yogun bakimda,gundem
32823,balikesirdeki fabrika patlamasina iliskin iddianame tamamlandi 4 sanik icin 15,gundem
32824,kastamonuda egitime kar engeli 24 subatta okullar tatil,gundem
32825,gazze seridinde hayatini kaybedenlerin sayisi 48 bin 339a yukseldi,dunya
32826,cinden trumpa yatirim kisitlamasina tepki,dunya
32827,imamoglunun diplomasinda son durum ne,gundem
32828,brukselde silahli saldiri ayni bolge icerisinde 5 defa,dunya
32829,igdirda yollarin kardan temizligi icin calismalar suruyor,gundem
32830,guney korede nufusun dusmesi ile 49 okul kapatiliyor,dunya
32831,ayten yeksandan varsova avrupa acik turnuvasinda bronz madalya,spor
32832,akp kongresinden sonra aksener defterini acti,siyaset
32833,como napoliyi yendi serie ada zirve degisti,spor
32834,elazigda koye inen yaban hayvanlari guvenlik kamerasinda,gundem
32835,akp kongresinde rozet krizi iyi parti heyeti salonu terk etti,siyaset
32836,mitin trocki raporu,gundem
32837,istanbullular evlere kapandi onlar kulac atti,spor
32838,ozge ozpirincciden sac ve makyaj aciklamasi elimde olsa her sabah uyanir,magazin
32839,nasrallahin cenaze torenini israil savas ucaklari provoke etti,dunya
32840,osmanli torunu akp mkyksina girdi mi,gundem
32841,derbi oncesi flas gelisme galatasaraya yunus akgunden sevindiren haber,spor
32842,eski basbakan kanli olay icin ozur diledi,dunya
32843,bize en son kaca olur,yazarlar
32844,trump secim yapmayan bir diktator demisti zelenskiy istifa icin sartini,dunya
32845,fenerbahceden ali koc mhpnin basina gececek sozlerine yanit,spor
32846,akp kongresinde ilginc anlar erdogan o ismi eliyle itti,gundem
32847,akpnin myksi belirlendi iste erdoganin yeni kurmaylari,siyaset
32848,imamoglu hakkindaki sahte diploma sorusturmasina mansur yavastan ilk aciklama,gundem
32849,bassavciliktan borsa istanbul karari fiyat hareketlerine neden olan haberlere,gundem
32850,acun ilicalidan wanda nara ve l gante aciklamasi derbiye davet ettigi iddia,spor
32851,volkan demirel ve zeynep sever demirelin kizlari dunyaya geldi,magazin
32852,kismi af gelecek mi bakan tunc canli yayinda acikladi,gundem
32853,almanyada secim sona erdi ilk sonuclar geldi,dunya
32854,chpde demokratik genclik hareketi basliyor yediden yetmise herkesle bulusacagiz,gundem
32855,trabzonspor evinde zorlandi ama hata yapmadi,spor
32856,cemal enginyurttan akpnin kongresi saibeli cikisi boyle bir seye hic rastlamadik,siyaset
32857,deneyimler mi veriler mi,yazarlar
32858,huseyin bastan akpye mesut ozil gondermesi ronaldoyu messiyi getir daha,siyaset
32859,kervan yolda duzulur,yazarlar
32860,arda guler formayi unuttu ancelottinin sozleri olay oldu,spor
32861,erdogan fransiz cumhurbaskani macron ile gorustu,gundem
32862,halil konakci erzurumda protesto edildi ataturk dusmanlari burada cirit atamaz,gundem
32863,esir takasi anlasmasini ihlal eden israilden gazze hazirligi operasyonel,dunya
32864,ogrenciler son ana kadar bekliyordu vali gul acikladi istanbulda okullar yarin,gundem
32865,i bulent celikin 24 subat 2025 tarihli karikaturu,karikatur
32867,ekipler kepce ile girdi mersinde ev yangini can aldi,gundem
32868,fenerbahce ile eslesen rangersta kriz patlak verdi,spor
32869,meteoroloji 24 subat raporunu yayimladi kar gidiyor don geliyor,cevre
32870,dem partili nejla demir duyurdu kagizman belediyesine kayyim atandi,siyaset
32871,cok sayida ilde egitime kar engeli,egitim
32872,samil tayyardan kongre yorumu bundan sonra degisim mevzusu kapanmistir,siyaset
32873,akp mkykya giren mustafa ozkanin gulenle fotografi gundem oldu,siyaset
32874,selvi meral aksener cumhur ittifakinda,siyaset
32875,zirve yarisinda kritik mac gozler galatasaray fenerbahce derbisinde,spor
32876,bakirhandan kagizmana kayyim tepkisi dugmeye basilmis gibi,siyaset
32877,istanbulda isid operasyonu 59 supheli yakalandi,gundem
32878,almanyada sag kazandi spd oy kaybetti sol partide yukselis var,dunya
32879,kagizman belediyesine kayyum dem partili kocyigit halkin iradesini yok sayan bu,siyaset
32880,chpden kagizman belediyesine kayyim atanmasina tepki,siyaset
32881,besiktas kupada yarin antalyaspora konuk olacak,spor
32882,chp genclik kollari genel baskani aydin hakkinda 5 yil hapis isteniyor,siyaset
32883,izmirin efsanesi kulturpark yeniden doguyor,yasam
32884,okan buruktan derbi icin prim aciklamasi isimize bakalim,spor
32885,agaclarimizi geri istiyoruz cagrisi ses getirdi,cevre
32886,ocalanin beklenen cagrisi hatimogullari katildigi konferansta tarih belirtti,gundem
32887,tuik acikladi hizmet ve insaat sektorunde guven azaldi,ekonomi
32888,israilin filistinli esirleri serbest birakmayi erteleme kararina abdden destek,dunya
32889,turkiye kupasinda grup asamasi tamamlaniyor,spor
32890,bakan goktas aile yili destegini duyurdu indirimli ucak bileti,yasam
32891,sozleri elestirmisti yavastan tepki 2 gundur imamoglu ile konusuyorum,gundem
32892,istanbulda isid operasyonu 59 gozalti,gundem
32893,ibbden ramazan ayinda yardim ve dayanisma adimlari,yasam
32894,kongreden sonra iyi partililer erdoganin bu videosunu paylasiyor,siyaset
32895,mujde ar annesi aysel gureli anlatti biz uc deli kadindik,kultur
32896,cavaliers ust uste 7 galibiyetine ulasti,spor
32897,kitalararasi derbinin 403 maci bu aksam oynanacak,spor
32898,dervisoglundan erken secim yorumu o saha da hakem erdogan erken secim tuzaktir,siyaset
32899,kucukciftlik parkta can dostlarimiz icin festival,yasam
32900,imamoglu b40 zirvesinde konustu hukuka ve akla meydan okuyan davalarla karsi,gundem
32901,manisada sokak hayvanlari icin ortak akil toplantisi,yerel
32902,imamoglunun diploma tartismasinda yeni belgeler ortaya cikti,siyaset
32903,bursanin tarihi ipek hani eski ihtisamina kavusuyor,yasam
32904,derbinin var hakemi belli oldu 1,spor
32905,mke patlama davasinda bilirkisi raporu bekleniyor dava 13 mayisa ertelendi,gundem
32906,umit ozdag paylasti sonarin son anketi,siyaset
32907,abden almanyadaki secimin galibi merze tebrik mesajlari,dunya
32908,dem parti grup baskanvekili kocyigit imrali heyeti birkac gun icinde ocalanla,gundem
32909,akademisyen cigdem bayraktar or icin tahliye karari,gundem
32910,kuraklik nedeniyle balik uretimi yozgatta 50 tona dustu,cevre
32911,alkollu esini olduren kadin ailemi oldurmekle tehdit etti uyuyunca bicakladim,gundem
32912,iyi partide buyuk kavga basladi aksenerin fotograflari kaldirilmazsa istifa,siyaset
32913,chpli erhan adem bakanligin karari koyluyu kostekliyor,siyaset
32914,mert hakan yandastan ses getiren derbi paylasimi,spor
32915,izmirde feci kaza minibus ile otomobil carpisti 2 olu 2 yarali,gundem
32916,chp ve akp arasindaki fark kapaniyor mu iste son rakamlar,gundem
32917,is insani yilmaz ulusoy hayatini kaybetti,gundem
32918,ato baskani baran yayincilik sektorundeki sikintilar buyuyor,yerel
32919,golden warriors andre iguodalain formasini emekli etti,spor
32920,rasim sisman sodev baskanligina ikinci kez secildi,yerel
32921,saadet partisi genel baskani arikandan erken secim cagrisi kacinilmaz bir,siyaset
32922,fidandan itiraf ab uyelik muzakereleri dondu bricsten uyelik teklifi gelmedi,gundem
32923,umit ozdagin dosyasinda yetkisizlik karari antalyaya gonderildi,siyaset
32924,irak petrol bakani turkiyenin onayi ile ikby petrol ihracati baslayacak,dunya
32925,red bull half courtun turkiye sampiyonu belli oldu,spor
32926,kocaelinde korkunc olay ortagini tufekle vurup rehin aldi,gundem
32927,ab turkiye delegasyonu baskani ukrayna olmadan baris mumkun degil,dunya
32928,yan baktin kavgasi kanli bitti 1 olu 2 yarali,gundem
32929,sigorta magdurlarindan siyasilere ulkemize deger kattik haklarimizi savunun,gundem
32930,halk yoksullasiyor kuyruklar cogaliyor erzurumda ucuz et kuyrugu dikkat cekti,ekonomi
32931,sahte diploma sorusturmasinda yeni gelisme imamoglu ifade davetini mazeretle,siyaset
32932,narin guran davasinda yeni gelisme 3 cocuk hakkindaki iddianame kabul edildi,gundem
32933,rusya marsilyadaki konsolosluk patlamasinin teror saldirisi olabilecegini,dunya
32934,ab suriyeye uyguladigi yaptirimlari kaldirmaya basladi,dunya
32935,rtuk uyelerinden baskan sahine tarafsizlik tepkisi,medya
32936,zenitin alt yapi takimlari altinordu tesislerinde kampta,spor
32937,derbi onceci dursun ozbekten dikkat ceken aciklama,spor
32938,aydinda 49 saattir yanan kagit fabrikasindaki yangin kontrol altinda,gundem
32939,ali dogani kaybettik,yazarlar
32940,ebeveynler mutsuzsa cocuklar mutlu olabilir mi,yazarlar
32941,gordugum luzum uzerine,yazarlar
32942,ege denizinde deprem meydana geldi,gundem
32943,yenidogan davasinda ara karar 4 sanik tahliye ediliyor,gundem
32944,gokhan ozoguza derbi cezasi seref madalyasidir,spor
32945,ozgur ozelden erdogana diploma gondermesi,siyaset
32946,macron trumpa ukraynada baris icin oneriler sunacak,dunya
32947,imamoglunun avukatlarindan diploma iddialarina yanit sarachanede basin,gundem
32948,chpde on secim sureci imamoglu chp genel merkezinde partililere seslenecek,siyaset
32949,derbi heyecani fenerbahce taraftari kadikoyden yola cikti,spor
32950,yonetmen sinan cetine imar sorusturmasi,magazin
32951,gabriel saranin fenerbahce derbisi saskinligi dunya kupasi finali gibi,spor
32952,arac muayene istasyonlari da ozellestirildi firma tanidik cikti,yazarlar
32953,starbucksta buyuk kriz binlerce calisan isten cikarilacak,ekonomi
32954,rangersin teknik direktoru belli oldu,spor
32955,ayder yaylasinda cig dustu o anlar saniye saniye kamerada,gundem
32956,fenerbahce kafilesi mesalelerle rams parka ugurlandi,spor
32957,akademisyen cigdem bayraktar ore tahliye hakliyiz kazanacagiz,gundem
32958,dink cinayetinde bilirkisi olan polise engin dinc referans olmus,gundem
32959,felipe melo derbi oncesi sasirtmadi bugun savas var,spor
32960,rams parkta mert hakan yandas klasigi sahaya inince tribunler cildirdi,spor
32961,galatasaray fenerbahce derbisinin 11leri belli oldu,spor
32962,kabine toplantisi sona erdi erdogan aciklamalarda bulunuyor 3,gundem
32964,derbide gorulmemis onlem 32 bin 500 polis gorevlendirildi,spor
32965,baris alper yilmaz fenerbahce derbisinde dalya dedi,spor
32966,chpden imamoglu icin net cikis milyonlar izin vermez,gundem
32967,trump acikladi zelenskiy beyaz saraya gidiyor,dunya
32968,vanda kar yagisi nedeniyle okullar tatil edildi,gundem
32969,havalimaninda hijyen tartismasi sandvic goruntuleri tepki cekti,gundem
32970,oyuncu basak sayanin sikayeti sonrasi azra kohene hapis cezasi,gundem
32971,maydonoz donere feto operasyonu gozaltindaki 20 supheliden 15i tutuklandi,gundem
32972,trabzonspordan galatasaray fenerbahce derbisi sonrasi slavko vincic cagrisi,spor
32973,okan buruktan slavko vincic tepkisi turk hakemlerinden daha kotu,spor
32974,beraberlige kac puan veriliyor,yazarlar
32975,adalet bir macla yetmez ki,yazarlar
32976,kazanan yok kaybeden var,yazarlar
32977,mourinhodan galatasaray derbisi sozleri onlar beraberlik icin oynadi,spor
32978,iyi partiden istifa eden ensarioglu akpye gecme gerekcesini anlatti ocalan,siyaset
32979,acun ilicalidan okan buruka the crying one tepkisi tartisilan bir durumda,spor
32980,i bulent celikin 25 subat 2025 tarihli karikaturu,karikatur
32982,derbinin faturasini vali gul acikladi 71 kisi hakkinda islem baslatildi,spor
32983,gazeteci ahmet sever hayatini kaybetti,gundem
32984,galatasaraydan mourinho hakkinda savciliga suc duyurusu uefa ve fifaya da sikayet,spor
32985,birlikteligin 100u sabancinin 100 yillik basari yolculugunun ilk adimlari,ekonomi
32986,meteoroloji 25 subat raporunu yayimladi saganak ve kar yagisi uyarisi,cevre
32987,sigaraya zam geliyor 1,gundem
32988,akpde secim tarihi belli oldu hedef 360 vekil,siyaset
32989,istanbulda barinma sorunu buyuyor kiracilarin yuzde 80i mutsuz,ekonomi
32990,beykoz belediyesine konser sorusturmasi 1 gozalti,gundem
32991,meski laboratuvari turkak denetiminden basariyla gecti,gundem
32992,bakan simsek g20 toplantisi icin cape townda,ekonomi
32993,mersinde 70 bin hasta ucretsiz nakil hizmeti aldi,yerel
32994,ipa arastirdi istanbullularin yuzde 55i kredi karti borcunu odeyemiyor,ekonomi
32995,galatasarayli kavukcu kime maymun diyorsa aciklayacak,spor
32996,mhp bu hafta da grup toplantisi yapmayacak,siyaset
32997,turkiyenin 167nci siyasi partisi kuruldu,siyaset
32998,timberwolves 25 sayi geriden gelerek thunderi yendi,spor
32999,besiktas belediyesi iscileri eylemde eksik calismiyoruz ucretimizin,yerel
33000,merkez bankasi acikladi halkin enflasyon beklentisi artti,ekonomi
33001,istanbul icin yeni hava raporu bahar havasi mi geliyor,yerel
33002,aidatlar kiralari asti istanbulda bazi bolgelerde 65 bin liraya kadar cikiyor,ekonomi
33003,ispanyol kuluplerinden israile protesto dalgasi,dunya
33004,kisi egirdir golunde geciren flamingolarin vucutlarinda buz sarkitlari olustu,cevre
33005,yeni arastirma enflasyon etkisini gozler onune serdi gectigimiz yil en cok neye,ekonomi
33006,afadin depremzedeler icin gonderdigi yatak fuhus yapilan masaj salonundan cikti,gundem
33007,akom verilerine gore cemre suya dusmeye hazirlaniyor sicaklik yukseliyor,gundem
33008,imamogluna sahte diploma sorusturmasi avukatlarindan aciklama,siyaset
33009,chpli gurerden kanun teklifi bag kur prim gun sayisi dusurulsun,ekonomi
33010,izmirliler martta sanata doyacak cem adriandan kaan tangozeye,kultur
33011,izmirde ramazan bereketi,yerel
33012,ankara barosu iklim kanununda eksikler giderilmeli,cevre
33013,sunay akinin yeni kitabi gaziantepte sabiha aziz bali ilce halk,kultur
33014,maydonoz donerden feto aciklamasi calismaya devam ediyoruz,gundem
33015,izmirde depreme hazirlik calismalari tum hiziyla devam ediyor,yasam
33016,serdar ortaca yasa disi bahis cezasi hapse girecek,yasam
33017,manchester uniteddan tasarruf karari personel kantini kapatiliyor,spor
33018,osmaniyede hayvan katliami 4 kisi gorevden alindi,gundem
33019,malatyada horlama nedeniyle kavga cikti 15 kisi hastanelik oldu,gundem
33020,akp kongresinin dusundurdukleri ve algi yonetimi,yazarlar
33021,hamastan israile sart filistinli tutuklular serbest birakilmali,dunya
33022,interpol tarafindan aranan misir vatandasi denizlide yakalandi,gundem
33023,padel ve pickleball dallari turkiye tenis federasyonuna baglandi,spor
33024,istanbulda suc orgutune yonelik operasyon 15 supheli tutuklandi,gundem
33025,unlu sanatci mujde ar trafik kazasi gecirdi,yasam
33026,sanat yapitlari doga hakkinda bize ne soyler,kultur
33027,ankara merkezli 4 ilde feto operasyonu 14 gozalti,gundem
33028,istanbul barosu baskani kaboglu ve yonetimi hakkinda iddianame 12 yila kadar,gundem
33029,corum millet bahcesindeki goletin yuzeyi buzla kaplandi,gundem
33030,manisa b belediyesinden alzheimer hastalari ve aileleri icin ben buradayim,saglik
33031,sakatliktan kurtulan yunus akgun kart cezasina takildi,spor
33032,kaan mujdecinin yeni projesine berlinaleden odul,kultur
33033,12 dev adam tat vermedi,yazarlar
33034,turkiye psikiyatri derneginden sahte alkol uyarisi acil mudahale edilmeli,saglik
33035,12 yil sonra suriyeden kacarken yakalandi temir dukancinin reyhanli,gundem
33036,yale universitesinden kisiye ozel kanser asisinda buyuk basari 9 hastada tam,gundem
33037,chp lideri ozel partisinin grup toplantisinda konusuyor 8,siyaset
33038,fenerbahceden mourinhonun sozlerine dair aciklama,spor
33039,bakan simsek enflasyondaki gerileme beklentileri iyilestirecek,ekonomi
33040,abdde bakanlik ekranlarina hack saldirisi trump muskin ayaklarini optu,dunya
33041,bursa buyuksehirden ciftciye tohum destegi,yerel
33042,fifadan sivasspora transfer yasagi,spor
33043,ocalanin beklenen cagrisi tuncer bakirhan bir formul bulunacagina inaniyorum,siyaset
33044,18 istanbul bienalinin temasi uc ayakli kedi,kultur
33045,binalar bosaltildi yer sikintisi var ama gelir idaresi baskanligina kuran kursu,gundem
33046,israil suriyeyi boluyor yeni turkiye seyrediyor,yazarlar
33047,cumhur ittifakinda referans krizi,siyaset
33048,derbide gozler onun uzerindeydi iste vincicin aldigi ucret,spor
33049,ozel okul patronu lokman akkurtun ogretmenlere saldirmasina tepki,gundem
33050,mourinho galatasaraya dava acmaya hazirlaniyor,spor
33051,savas ifade verdi yeni suc duyurusunda bulundu,siyaset
33052,tazminatsiz issiz kalan kfc ve pizza hut iscilerinden yetkililere cagri calisma,gundem
33053,istanbul barajlarindaki doluluk orani yuzde 72ye yukseldi,cevre
33054,izmir buyuksehir belediyesi yuva oldu,yerel
33055,dso gazzede 547 binden fazla cocuga cocuk felci asisi yapildi,dunya
33056,ancelotti arda guler ile ilgili iddialari yalanladi,spor
33057,super ligde 28 haftanin programi aciklandi,spor
33058,edip akbayramin kizi turku akbayramdan babasina duygusal mesaj umutla,kultur
33059,beylikduzunde et kuyrugu yurttaslar gun aymadan siraya girerken saatlerce,gundem
33060,sevda turkusevden irem dericiye ucak tepkisi ses muhtesem ama davranislar sifir,magazin
33061,besiktas turkiye kupasinda ceyrek finalde,spor
33062,soguk havaya veda sicakliklar 6 8 derece artacak,cevre
33063,akpli efkan aladan ozgur ozelin sozlerine tepki kumpas pesindeler,siyaset
33064,imamoglu ve yavas umit ozdagin annesini ziyaret etti,gundem
33065,yilmaz ozdil kosesine geri donuyor yeni adresi belli oldu,gundem
33066,bolu kartalkayadaki otel icin yangin komisyonu toplandi inceleme tarihi,gundem
33067,tff duyurdu fifadan adana demirspora 6 puan silme cezasi,spor
33068,solskjaer bunu yapmamamiz lazim,spor
33069,2008 yilinda emniyet uyarmisti hizbullah avrupada hortladi ve sinav yapiyor,yazarlar
33070,ilyas salmanin basrolde oldugu oyuna geldik filmi yasaklandi,kultur
33071,rtuk baskani sahin fatih altayliya kopurdu simdi git pislik cukuruna,gundem
33072,trabzonspordan sonra besiktas da harekete gecti yabanci hakem icin tffnin kapisi,spor
33073,ozgur ozel neden iki kuvvet komutaninin adini verdi,siyaset
33074,akkuyuda iscilere insanlik disi muamele yemeklerden kullanilmis prezervatif cikti,gundem
33075,trafik cilesi istanbulu kilitledi is cikisi sonrasi harita kirmiziya boyandi,gundem
33076,bogazicinde kayyumdan isgal kafe hamlesi ogrenci kuluplerinin yonetimleri,gundem
33077,umit ozdagdan imamoglu aciklamasi uc kez basvurmasina ragmen izin verilmedi,gundem
33078,kizil goncalardan bahara surpriz transfer,magazin
33079,derbideki sakatligi korkutmustu osimhenin mr sonucu belli oldu,spor
33080,ramazan oncesi piyasaya sureceklerdi at keserken sucustu yakalandilar,gundem
33081,akp sozcusu celikten ozele saat yaniti hediye edilmesi siyasi gelenekmis,gundem
33082,a380in ilk turk kadin kaptani gokce kubra yildirim dunyanin en buyuk ucagini,gundem
33083,aciklamalari olay olmustu jose mourinho pfdkya sevk edildi,spor
33084,imamoglunun sikayet ettigi bilirkisiye disiplin sorusturmasi acildi,gundem
33085,fatih terim al shabab ile ilk deplasman galibiyetini aldi,spor
33086,ukrayna ve abd kiymetli madenler icin anlasti imzalar atiliyor,dunya
33087,gaziosmanpasada yol coktu 4 bina tahliye edildi mahalleli sokakta kaldi,gundem
33088,i bulent celikin 26 subat 2025 tarihli karikaturu,karikatur
33090,ysk duyurdu 6 ilin milletvekili sayisi degisti,siyaset
33091,akpye gecen yazicidan ozgur ozelin iddialarina yanit gercek disi beyanlar iftira,gundem
33092,meteoroloji 26 subat raporunu yayimladi saganak ve kar yagisi uyarisi,cevre
33093,milli yol partisi il baskani gozaltina alindi,siyaset
33094,ysk karari resmi gazetede 6 sehrin milletvekili sayisi degisti,gundem
33095,istanbul bassavciligi imamoglunun diplomasinin iptali icin yazi gonderdi,siyaset
33096,endonezyada 61 buyuklugunde deprem,dunya
33097,fenerbahce beko avrupa liginde maccabi ile karsilasacak,spor
33098,istanbulda uyusturucu operasyonu 153 suphelinin yakalandi,gundem
33099,chp anketinde surpriz aday olmayan mansur yavas birinci oldu,siyaset
33100,izmirde ogrenciler icin aylik abonman kart uygulamasi 1 martta,yerel
33101,thy grev nedeniyle bazi seferlerin iptal edildigini duyurdu,gundem
33102,zeynep sonmez merida acik turnuvasinda 2 tura cikti,spor
33103,kirmizi bultenle aranan 11 kisiye turkiyede vatandaslik verildi,gundem
33104,dem parti gundem basin toplantisi aysegul dogan konusuyor,siyaset
33105,kongoda bilinmeyen hastalik nedeniyle 53 kisi hayatini kaybetti,dunya
33106,thy avrupa liginde 27 hafta heyecani,spor
33107,izmir itfaiyesi 154 memur alimi yapacak,yerel
33108,atasehirdeki cinsel saldiri faili tutuklandi 14 ayri suc kaydi var,gundem
33109,atasehir belediyesinden iklim degisikligiyle mucadelede icin onemli adim,cevre
33110,zehra gunes ile vakifbank arasinda yeni sozlesme,spor
33111,bursa buyuksehirden ramazanda dolu dolu program,yasam
33112,alkol alarak gece parkta uyuyan kisi donarak oldu,gundem
33113,14 cinsel saldiri sucundan m i y 5 yil sonra yakalandi,gundem
33114,imamoglunun avukati mehmet pehlivan gazete pencereye konustu,gundem
33115,turkiyede de tartisiliyor google medya kuruluslari arasindaki rekabete zarar,gundem
33116,ttbden beyaz yuruyus yeni bir saglik sistemi mumkun,saglik
33117,disislerinden hocali katliami aciklamasi,gundem
